concept:name,time:timestamp,activity,TOC,AOR,Priority_Code,Substation,DeviceType,Device,event_message
348163,2017-05-02 14:00:00.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
348174,2017-05-02 14:00:04.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
357435,2017-05-02 14:59:58.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
357446,2017-05-02 15:00:02.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
365808,2017-05-02 16:00:00.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
366032,2017-05-02 16:01:13.000,ML,TMS,TOCPB,4,Substation1265,UNBLCR,Device4334,Substation1265 UNBLCR Device4334 SIGNAL XMIT NORMAL CHG-DET
366033,2017-05-02 16:01:13.000,RY,TMS,TOCPB,1,Substation1265,RELAY,Device4333,Substation1265 RELAY Device4333 TRIP RECEIVED NORMAL ALM-NRM
366034,2017-05-02 16:01:13.000,ML,TMS,TOCPB,4,Substation1265,RELAY,Device4333,Substation1265 RELAY Device4333 CARRIER LEVEL NORMAL CHG-DET
366859,2017-05-02 16:07:15.000,TV,TMS,TOCPB,2,Substation1265,LN,Device1053,Substation1265 LN Device1053 KV HI LIM EXCEEDED 121.3 CURRENT VALUE 121.3 VOLT HIGH LIMIT VALUE 121.0
366860,2017-05-02 16:07:15.000,TV,TMS,TOCPB,2,Substation1265,LN,Device1789,Substation1265 LN Device1789 KV HI LIM EXCEEDED 121.3 CURRENT VALUE 121.3 VOLT HIGH LIMIT VALUE 121.0
366861,2017-05-02 16:07:15.000,TV,TMS,TOCPB,2,Substation1265,BUS,XFMR_BUS_PRI2,Substation1265 BUS XFMR_BUS_PRI2 AKV HI LIM EXCEEDED 121.1 CURRENT VALUE 121.1 VOLT HIGH LIMIT VALUE 121.0
366862,2017-05-02 16:07:15.000,TV,TMS,TOCPB,2,Substation1265,BUS,CAP_BANK_BUS,Substation1265 BUS CAP_BANK_BUS AKV HI LIM EXCEEDED 121.1 CURRENT VALUE 121.1 VOLT HIGH LIMIT VALUE 121.0
366886,2017-05-02 16:07:27.000,TV,TMS,TOCPB,2,Substation1265,BUS,XFMR_BUS_PRI1,Substation1265 BUS XFMR_BUS_PRI1 AKV HI LIM EXCEEDED 121.1 CURRENT VALUE 121.1 VOLT HIGH LIMIT VALUE 121.0
373440,2017-05-02 16:59:58.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
373456,2017-05-02 17:00:02.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
