no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
5497,2017-05-01 00:43:11.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5499,2017-05-01 00:43:21.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5500,2017-05-01 00:43:21.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED TRIP ENABLED CHG-DET
5502,2017-05-01 00:43:21.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5516,2017-05-01 00:43:22.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5546,2017-05-01 00:43:31.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED TRIP ENABLED CHG-DET
5551,2017-05-01 00:43:33.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5557,2017-05-01 00:43:35.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
5625,2017-05-01 00:44:16.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
5729,2017-05-01 00:45:06.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
5893,2017-05-01 00:46:27.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED NORMAL CHG-DET
5900,2017-05-01 00:46:31.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED BLOCK TRIP CHG-DET
5906,2017-05-01 00:46:35.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED NORMAL CHG-DET
6160,2017-05-01 00:48:46.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER NORMAL CHG-DET
6683,2017-05-01 00:53:01.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
6724,2017-05-01 00:53:21.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED ALARM CHG-DET
6725,2017-05-01 00:53:23.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
6875,2017-05-01 00:54:40.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED TRIP ENABLED CHG-DET
6876,2017-05-01 00:54:41.000,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795 BLKCAR Device775 SIGNAL RECEIVED TRIP ENABLED CHG-DET
6879,2017-05-01 00:54:43.000,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
6887,2017-05-01 00:54:44.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED NORMAL CHG-DET
6895,2017-05-01 00:54:45.000,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
6944,2017-05-01 00:55:10.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG UNBALANCED 800.0 CURRENT VALUE 800.0 AMPG HIGH LIMIT VALUE 10.9
7009,2017-05-01 00:55:41.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG NORMAL 2.9 CURRENT VALUE 2.9 AMPG HIGH LIMIT VALUE 10.9
7388,2017-05-01 00:58:43.000,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879 LN 564 AMPG UNBALANCED 800.0 CURRENT VALUE 800.0 AMPG HIGH LIMIT VALUE 40.2
7441,2017-05-01 00:59:03.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG UNBALANCED 800.0 CURRENT VALUE 800.0 AMPG HIGH LIMIT VALUE 10.9
7464,2017-05-01 00:59:14.000,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879 LN 564 AMPG NORMAL 6.1 CURRENT VALUE 6.1 AMPG HIGH LIMIT VALUE 40.2
7495,2017-05-01 00:59:30.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG NORMAL 1.0 CURRENT VALUE 1.0 AMPG HIGH LIMIT VALUE 10.9
7553,2017-05-01 00:59:57.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
7561,2017-05-01 01:00:01.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED BLOCK TRIP CHG-DET
7566,2017-05-01 01:00:02.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT NORMAL CHG-DET
7568,2017-05-01 01:00:02.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED TRIP ENABLED CHG-DET
7569,2017-05-01 01:00:02.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058 BLKCAR Device4575 SIGNAL RECEIVED NORMAL CHG-DET
7570,2017-05-01 01:00:02.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED BLOCK TRIP CHG-DET
7572,2017-05-01 01:00:02.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED TRIP ENABLED CHG-DET
7573,2017-05-01 01:00:02.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
7574,2017-05-01 01:00:03.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
7581,2017-05-01 01:00:03.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED NORMAL CHG-DET
7587,2017-05-01 01:00:04.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED NORMAL CHG-DET
7588,2017-05-01 01:00:04.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
7590,2017-05-01 01:00:05.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
7596,2017-05-01 01:00:06.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED BLOCK TRIP CHG-DET
7600,2017-05-01 01:00:06.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
7604,2017-05-01 01:00:08.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT NORMAL CHG-DET
7606,2017-05-01 01:00:08.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED BLOCK TRIP CHG-DET
7613,2017-05-01 01:00:10.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
7614,2017-05-01 01:00:10.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED NORMAL CHG-DET
7735,2017-05-01 01:01:04.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED ALARM CHG-DET
7737,2017-05-01 01:01:04.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER NORMAL CHG-DET
