no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
24191,2017-05-01 03:00:09.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED NORMAL CHG-DET
24197,2017-05-01 03:00:10.000,ML,TMS,TOCLR,4,Substation977,BLKCAR,Device754,Substation977 BLKCAR Device754 SIGNAL RECEIVED NORMAL CHG-DET
24287,2017-05-01 03:00:45.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
24629,2017-05-01 03:02:58.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER FAILED CHG-DET
24630,2017-05-01 03:02:58.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL LOW CHG-DET
24644,2017-05-01 03:03:03.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER NORMAL CHG-DET
24645,2017-05-01 03:03:03.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL NORMAL CHG-DET
24802,2017-05-01 03:04:08.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER LOSS CHG-DET
25345,2017-05-01 03:07:38.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER NORMAL CHG-DET
25412,2017-05-01 03:08:00.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL LOW CHG-DET
25413,2017-05-01 03:08:00.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED TRIP ENABLED CHG-DET
25420,2017-05-01 03:08:02.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL LOW CHG-DET
25421,2017-05-01 03:08:02.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED NORMAL CHG-DET
25429,2017-05-01 03:08:04.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL NORMAL CHG-DET
25430,2017-05-01 03:08:04.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED NORMAL CHG-DET
25548,2017-05-01 03:08:50.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
25565,2017-05-01 03:08:59.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25569,2017-05-01 03:08:59.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25575,2017-05-01 03:09:02.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25579,2017-05-01 03:09:03.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25592,2017-05-01 03:09:07.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25593,2017-05-01 03:09:08.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25599,2017-05-01 03:09:11.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25604,2017-05-01 03:09:12.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25611,2017-05-01 03:09:14.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25615,2017-05-01 03:09:15.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25636,2017-05-01 03:09:21.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25638,2017-05-01 03:09:21.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25640,2017-05-01 03:09:24.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25647,2017-05-01 03:09:25.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25651,2017-05-01 03:09:28.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25653,2017-05-01 03:09:28.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED TRIP ENABLED CHG-DET
25665,2017-05-01 03:09:33.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25668,2017-05-01 03:09:34.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25675,2017-05-01 03:09:36.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25679,2017-05-01 03:09:38.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
25687,2017-05-01 03:09:40.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device144,Substation621 BLKCAR Device144 SIGNAL RECEIVED NORMAL CHG-DET
25688,2017-05-01 03:09:40.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device775,Substation1039 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
26017,2017-05-01 03:11:31.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device139,Substation723 BLKCAR Device139 CHECKBACK TEST IN PROGRESS CHG-DET
26030,2017-05-01 03:11:34.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
26123,2017-05-01 03:12:04.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device139,Substation723 BLKCAR Device139 CHECKBACK TEST NORMAL CHG-DET
26720,2017-05-01 03:16:37.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device349,Substation687 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
27612,2017-05-01 03:22:37.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
27752,2017-05-01 03:23:35.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED NORMAL CHG-DET
27759,2017-05-01 03:23:36.000,ML,TMS,TOCBY,4,Substation996,BLKCAR,Device144,Substation996 BLKCAR Device144 CHECKBACK TEST IN PROGRESS CHG-DET
27762,2017-05-01 03:23:38.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED NORMAL CHG-DET
27777,2017-05-01 03:23:44.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED TRIP ENABLED CHG-DET
27793,2017-05-01 03:23:48.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED TRIP ENABLED CHG-DET
27798,2017-05-01 03:23:50.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED TRIP ENABLED CHG-DET
27799,2017-05-01 03:23:50.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED TRIP ENABLED CHG-DET
27807,2017-05-01 03:23:53.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED NORMAL CHG-DET
27820,2017-05-01 03:24:00.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED NORMAL CHG-DET
27823,2017-05-01 03:24:00.000,ML,TMS,TOCFC,4,Substation1039,BLKCAR,Device122,Substation1039 BLKCAR Device122 SIGNAL RECEIVED NORMAL CHG-DET
27827,2017-05-01 03:24:05.000,ML,TMS,TOCBY,4,Substation996,BLKCAR,Device144,Substation996 BLKCAR Device144 CHECKBACK TEST NORMAL CHG-DET
27957,2017-05-01 03:24:52.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
28629,2017-05-01 03:29:23.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER NORMAL CHG-DET
29627,2017-05-01 03:36:15.000,ML,TMS,TOCNL,4,Substation1451,RELAY,SEL2407_CLOCK,Substation1451 RELAY SEL2407_CLOCK CLOCK SIGNAL ALARM CHG-DET
29686,2017-05-01 03:36:42.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
29687,2017-05-01 03:36:44.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
29694,2017-05-01 03:36:46.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED NORMAL CHG-DET
29905,2017-05-01 03:38:21.000,ML,TMS,TOCNL,4,Substation1451,RELAY,SEL2407_CLOCK,Substation1451 RELAY SEL2407_CLOCK CLOCK SIGNAL NORMAL CHG-DET
30057,2017-05-01 03:39:27.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG UNBALANCED 11.1 CURRENT VALUE 11.1 AMPG HIGH LIMIT VALUE 10.9
30101,2017-05-01 03:39:47.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG NORMAL 4.1 CURRENT VALUE 4.1 AMPG HIGH LIMIT VALUE 10.9
30420,2017-05-01 03:42:18.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
31286,2017-05-01 03:48:48.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST IN PROGRESS CHG-DET
31310,2017-05-01 03:48:54.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST IN PROGRESS CHG-DET
31331,2017-05-01 03:49:00.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST IN PROGRESS CHG-DET
31338,2017-05-01 03:49:02.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST IN PROGRESS CHG-DET
31348,2017-05-01 03:49:08.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST IN PROGRESS CHG-DET
31364,2017-05-01 03:49:15.000,ML,TMS,TOCPB,4,Substation362,BLKCAR,Device778,Substation362 BLKCAR Device778 CHECKBACK TEST NORMAL CHG-DET
31586,2017-05-01 03:50:42.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
31691,2017-05-01 03:51:27.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER LOSS CHG-DET
32223,2017-05-01 03:55:01.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER NORMAL CHG-DET
32288,2017-05-01 03:55:29.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
32312,2017-05-01 03:55:38.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
32827,2017-05-01 03:59:00.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32838,2017-05-01 03:59:02.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32844,2017-05-01 03:59:05.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32855,2017-05-01 03:59:07.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32861,2017-05-01 03:59:08.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32867,2017-05-01 03:59:12.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32869,2017-05-01 03:59:12.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32887,2017-05-01 03:59:17.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32888,2017-05-01 03:59:18.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
32891,2017-05-01 03:59:20.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
32902,2017-05-01 03:59:23.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
32910,2017-05-01 03:59:26.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
32915,2017-05-01 03:59:27.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
32917,2017-05-01 03:59:28.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32923,2017-05-01 03:59:30.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
32972,2017-05-01 03:59:47.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED TRIP ENABLED CHG-DET
32978,2017-05-01 03:59:49.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
33002,2017-05-01 03:59:59.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
33003,2017-05-01 04:00:02.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED NORMAL CHG-DET
33004,2017-05-01 04:00:02.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33015,2017-05-01 04:00:03.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058 BLKCAR Device4575 SIGNAL RECEIVED NORMAL CHG-DET
33019,2017-05-01 04:00:03.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT ALARM CHG-DET
33020,2017-05-01 04:00:03.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED NORMAL CHG-DET
33023,2017-05-01 04:00:03.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
33026,2017-05-01 04:00:04.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED BLOCK TRIP CHG-DET
33028,2017-05-01 04:00:04.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
33031,2017-05-01 04:00:04.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
33032,2017-05-01 04:00:04.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
33037,2017-05-01 04:00:05.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER NORMAL CHG-DET
33038,2017-05-01 04:00:05.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL NORMAL CHG-DET
33039,2017-05-01 04:00:05.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723 BLKCAR Device516 SIGNAL RECEIVED NORMAL CHG-DET
33040,2017-05-01 04:00:05.000,ML,TMS,TOCLR,4,Substation169,BLKCAR,SLYVNX,Substation169 BLKCAR SLYVNX SIGNAL RECEIVED NORMAL CHG-DET
33041,2017-05-01 04:00:05.000,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
33043,2017-05-01 04:00:05.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device111,Substation1303 BLKCAR Device111 SIGNAL RECEIVED NORMAL CHG-DET
33048,2017-05-01 04:00:07.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723 BLKCAR Device516 SIGNAL RECEIVED NORMAL CHG-DET
33050,2017-05-01 04:00:07.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED NORMAL CHG-DET
33051,2017-05-01 04:00:07.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
33052,2017-05-01 04:00:07.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33053,2017-05-01 04:00:07.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33059,2017-05-01 04:00:07.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT NORMAL CHG-DET
33060,2017-05-01 04:00:07.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED NORMAL CHG-DET
33062,2017-05-01 04:00:08.000,ML,TMS,TOCSR,4,Substation694,BLKCAR,Device726,Substation694 BLKCAR Device726 SIGNAL XMIT ALARM CHG-DET
33063,2017-05-01 04:00:08.000,ML,TMS,TOCSR,4,Substation694,BLKCAR,Device726,Substation694 BLKCAR Device726 SIGNAL RECEIVED BLOCK TRIP CHG-DET
33064,2017-05-01 04:00:08.000,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795 BLKCAR Device775 SIGNAL RECEIVED NORMAL CHG-DET
33065,2017-05-01 04:00:08.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device111,Substation1303 BLKCAR Device111 SIGNAL RECEIVED NORMAL CHG-DET
33073,2017-05-01 04:00:10.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED NORMAL CHG-DET
33074,2017-05-01 04:00:10.000,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621 BLKCAR Device20 SIGNAL RECEIVED NORMAL CHG-DET
33079,2017-05-01 04:00:12.000,ML,TMS,TOCLR,4,Substation169,BLKCAR,SLYVNX,Substation169 BLKCAR SLYVNX SIGNAL RECEIVED NORMAL CHG-DET
33105,2017-05-01 04:00:21.000,ML,TMS,TOCSR,4,Substation694,BLKCAR,Device726,Substation694 BLKCAR Device726 SIGNAL XMIT NORMAL CHG-DET
33106,2017-05-01 04:00:21.000,ML,TMS,TOCSR,4,Substation694,BLKCAR,Device726,Substation694 BLKCAR Device726 SIGNAL RECEIVED NORMAL CHG-DET
33531,2017-05-01 04:03:13.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
33825,2017-05-01 04:05:02.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33829,2017-05-01 04:05:03.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device50,Substation687 BLKCAR Device50 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33830,2017-05-01 04:05:03.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33831,2017-05-01 04:05:03.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33832,2017-05-01 04:05:03.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33835,2017-05-01 04:05:03.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL LOW CHG-DET
33836,2017-05-01 04:05:03.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL LOW CHG-DET
33838,2017-05-01 04:05:05.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED TRIP ENABLED CHG-DET
33840,2017-05-01 04:05:05.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL LOW CHG-DET
33841,2017-05-01 04:05:05.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL LOW CHG-DET
33845,2017-05-01 04:05:06.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device50,Substation687 BLKCAR Device50 SIGNAL RECEIVED NORMAL CHG-DET
33851,2017-05-01 04:05:07.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED NORMAL CHG-DET
33853,2017-05-01 04:05:07.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
33854,2017-05-01 04:05:07.000,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78 BLKCAR Device753 SIGNAL RECEIVED NORMAL CHG-DET
33855,2017-05-01 04:05:07.000,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051 BLKCAR Device292 SIGNAL RECEIVED NORMAL CHG-DET
33857,2017-05-01 04:05:07.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL NORMAL CHG-DET
33858,2017-05-01 04:05:07.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL NORMAL CHG-DET
33881,2017-05-01 04:05:27.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED NORMAL CHG-DET
33904,2017-05-01 04:05:27.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED BLOCK TRIP CHG-DET
33908,2017-05-01 04:05:27.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED NORMAL CHG-DET
33915,2017-05-01 04:05:27.000,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137 BLKCAR BGNV SIGNAL RECEIVED NORMAL CHG-DET
33920,2017-05-01 04:05:27.000,ML,TMS,TOCLR,4,Substation169,BLKCAR,SLYVNX,Substation169 BLKCAR SLYVNX SIGNAL RECEIVED NORMAL CHG-DET
33924,2017-05-01 04:05:30.000,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723 BLKCAR Device516 SIGNAL RECEIVED NORMAL CHG-DET
33929,2017-05-01 04:05:32.000,ML,TMS,TOCLR,4,Substation169,BLKCAR,SLYVNX,Substation169 BLKCAR SLYVNX SIGNAL RECEIVED NORMAL CHG-DET
33971,2017-05-01 04:05:46.000,ML,TMS,TOCPB,4,Substation654,STN,BATTERY,Substation654 STN BATTERY TOC GROUND NORMAL CHG-DET
33994,2017-05-01 04:05:55.000,ML,TMS,TOCGR,4,Substation190,BLKCAR,Device391,Substation190 BLKCAR Device391 CARRIER LEVEL LOW CHG-DET
34006,2017-05-01 04:05:57.000,ML,TMS,TOCGR,4,Substation1447,BLKCAR,Device527,Substation1447 BLKCAR Device527 CARRIER LEVEL LOW CHG-DET
34016,2017-05-01 04:05:58.000,ML,TMS,TOCPB,4,Substation654,STN,BATTERY,Substation654 STN BATTERY TOC GROUND ALARM CHG-DET
34024,2017-05-01 04:06:01.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED TRIP ENABLED CHG-DET
